Order NO,Order Date,Month/Yr,Day of Week,Pie Flavor,Quantity,Cost,Slice Or Whole Pie,Pre-Order/In-Store Purchase,Organic?
10071,01-07-2021,01-07-2021,Thursday,Apple,5,100,Whole,Pre-Order,Yes
10072,01-07-2021,01-07-2021,Thursday,Strawberry Rhubarb,4,80,Whole,In-Store,Yes
10073,01-07-2021,01-07-2021,Thursday,Other,2,40,Whole,Pre-Order,Yes
10074,01-07-2021,01-07-2021,Thursday,Strawberry Rhubarb,5,12.5,Slice,Pre-Order,Yes
10075,01-07-2021,01-07-2021,Thursday,Apple,5,12.5,Slice,In-Store,Yes
10076,01-07-2021,01-07-2021,Thursday,Blueberry,5,100,Whole,Pre-Order,Yes
10077,01-07-2021,01-07-2021,Thursday,Other,5,12.5,Slice,In-Store,Yes
10078,25-09-2021,01-09-2021,Saturday,Apple,2,40,Whole,Pre-Order,No
10079,08-02-2020,01-02-2020,Saturday,Strawberry Rhubarb,1,20,Whole,Pre-Order,Yes
10080,08-02-2020,01-02-2020,Saturday,Strawberry Rhubarb,2,5,Slice,Pre-Order,No
10081,08-02-2020,01-02-2020,Saturday,Strawberry Rhubarb,5,100,Whole,In-Store,Yes
10082,08-02-2020,01-02-2020,Saturday,Strawberry Rhubarb,4,80,Whole,Pre-Order,No
10083,08-02-2020,01-02-2020,Saturday,Strawberry Rhubarb,5,12.5,Slice,Pre-Order,No
10084,08-02-2020,01-02-2020,Saturday,Strawberry Rhubarb,3,60,Whole,In-Store,Yes
10085,08-02-2020,01-02-2020,Saturday,Strawberry Rhubarb,4,10,Slice,In-Store,No
10086,08-02-2020,01-02-2020,Saturday,Strawberry Rhubarb,5,100,Whole,Pre-Order,Yes
10087,08-02-2020,01-02-2020,Saturday,Strawberry Rhubarb,5,100,Whole,In-Store,No
10088,08-02-2020,01-02-2020,Saturday,Strawberry Rhubarb,2,5,Slice,Pre-Order,No
10089,08-02-2020,01-02-2020,Saturday,Strawberry Rhubarb,4,10,Slice,In-Store,No
10090,24-12-2020,01-12-2020,Thursday,Apple,3,60,Whole,Pre-Order,No
10091,24-12-2020,01-12-2020,Thursday,Apple,5,100,Whole,Pre-Order,No
10092,24-12-2020,01-12-2020,Thursday,Apple,3,7.5,Slice,In-Store,No
10093,24-12-2020,01-12-2020,Thursday,Apple,4,80,Whole,In-Store,Yes
10094,24-12-2020,01-12-2020,Thursday,Apple,1,2.5,Slice,Pre-Order,No
10095,25-06-2021,01-06-2021,Friday,Apple,1,20,Whole,In-Store,Yes
10096,25-06-2021,01-06-2021,Friday,Strawberry Rhubarb,3,60,Whole,Pre-Order,No
10097,25-06-2021,01-06-2021,Friday,Apple,5,100,Whole,Pre-Order,No
10098,25-06-2021,01-06-2021,Friday,Apple,2,40,Whole,Pre-Order,Yes
10099,25-06-2021,01-06-2021,Friday,Apple,3,7.5,Slice,Pre-Order,Yes
10100,25-06-2021,01-06-2021,Friday,Apple,3,7.5,Slice,In-Store,No
10101,25-06-2021,01-06-2021,Friday,Apple,1,2.5,Slice,Pre-Order,Yes
10102,25-06-2021,01-06-2021,Friday,Apple,5,100,Whole,Pre-Order,No
10103,15-11-2019,01-11-2019,Friday,Apple,4,80,Whole,Pre-Order,Yes
10104,15-11-2019,01-11-2019,Friday,Strawberry Rhubarb,1,2.5,Slice,In-Store,Yes
10105,15-11-2019,01-11-2019,Friday,Pumpkin,3,60,Whole,In-Store,Yes
10106,15-11-2019,01-11-2019,Friday,Apple,2,40,Whole,In-Store,No
10107,15-11-2019,01-11-2019,Friday,Pumpkin,5,12.5,Slice,Pre-Order,No
10108,15-11-2019,01-11-2019,Friday,Pumpkin,5,100,Whole,Pre-Order,No
10109,15-11-2019,01-11-2019,Friday,Pumpkin,3,60,Whole,In-Store,No
10110,15-11-2019,01-11-2019,Friday,Pumpkin,2,40,Whole,In-Store,No
10111,15-11-2019,01-11-2019,Friday,Pumpkin,3,60,Whole,In-Store,Yes
10112,10-04-2020,01-04-2020,Friday,Cherry,5,100,Whole,Pre-Order,Yes
10113,10-11-2020,01-11-2020,Tuesday,Apple,1,20,Whole,In-Store,No
10114,10-04-2020,01-04-2020,Friday,Cherry,1,20,Whole,Pre-Order,No
10115,10-04-2020,01-04-2020,Friday,Cherry,2,40,Whole,In-Store,No
10116,10-11-2020,01-11-2020,Tuesday,Apple,1,20,Whole,Pre-Order,No
10117,10-04-2020,01-04-2020,Friday,Cherry,3,7.5,Slice,In-Store,Yes
10118,10-04-2020,01-04-2020,Friday,Cherry,2,5,Slice,In-Store,No
10119,10-04-2020,01-04-2020,Friday,Cherry,5,100,Whole,Pre-Order,Yes
10120,10-11-2020,01-11-2020,Tuesday,Apple,1,20,Whole,Pre-Order,No
10121,10-04-2020,01-04-2020,Friday,Cherry,4,10,Slice,Pre-Order,No
10122,10-11-2020,01-11-2020,Tuesday,Pumpkin,4,10,Slice,Pre-Order,No
10123,10-04-2020,01-04-2020,Friday,Cherry,4,10,Slice,Pre-Order,Yes
10124,08-05-2021,01-05-2021,Saturday,Fudge,2,40,Whole,Pre-Order,Yes
10125,08-05-2021,01-05-2021,Saturday,Apple,2,5,Slice,Pre-Order,No
10126,08-05-2021,01-05-2021,Saturday,Fudge,1,20,Whole,In-Store,No
10127,08-05-2021,01-05-2021,Saturday,Apple,2,5,Slice,In-Store,No
10128,08-05-2021,01-05-2021,Saturday,Fudge,4,80,Whole,In-Store,No
10129,14-02-2020,01-02-2020,Friday,Apple,4,80,Whole,In-Store,Yes
10130,14-02-2020,01-02-2020,Friday,Strawberry Rhubarb,1,2.5,Slice,In-Store,Yes
10131,14-02-2020,01-02-2020,Friday,Strawberry Rhubarb,5,12.5,Slice,Pre-Order,No
10132,14-02-2020,01-02-2020,Friday,Strawberry Rhubarb,4,80,Whole,Pre-Order,Yes
10133,14-02-2020,01-02-2020,Friday,Strawberry Rhubarb,1,2.5,Slice,Pre-Order,Yes
10134,14-02-2020,01-02-2020,Friday,Strawberry Rhubarb,2,5,Slice,Pre-Order,Yes
10135,14-02-2020,01-02-2020,Friday,Strawberry Rhubarb,3,60,Whole,In-Store,Yes
10136,14-02-2020,01-02-2020,Friday,Strawberry Rhubarb,4,80,Whole,Pre-Order,No
10137,14-02-2020,01-02-2020,Friday,Strawberry Rhubarb,2,5,Slice,In-Store,Yes
10138,14-02-2020,01-02-2020,Friday,Strawberry Rhubarb,3,60,Whole,Pre-Order,No
10139,14-02-2020,01-02-2020,Friday,Strawberry Rhubarb,2,5,Slice,Pre-Order,No
10140,14-02-2020,01-02-2020,Friday,Strawberry Rhubarb,2,40,Whole,Pre-Order,No
10141,14-02-2020,01-02-2020,Friday,Strawberry Rhubarb,2,40,Whole,Pre-Order,No
10142,14-02-2020,01-02-2020,Friday,Strawberry Rhubarb,5,12.5,Slice,Pre-Order,Yes
10143,14-10-2020,01-10-2020,Wednesday,Apple,4,10,Slice,In-Store,Yes
10144,14-10-2020,01-10-2020,Wednesday,Apple,2,40,Whole,Pre-Order,No
10145,14-10-2020,01-10-2020,Wednesday,Apple,1,2.5,Slice,In-Store,No
10146,14-10-2020,01-10-2020,Wednesday,Apple,3,7.5,Slice,In-Store,No
10147,14-10-2020,01-10-2020,Wednesday,Apple,4,80,Whole,In-Store,Yes
10148,14-10-2020,01-10-2020,Wednesday,Pumpkin,2,5,Slice,In-Store,No
10149,14-10-2020,01-10-2020,Wednesday,Pumpkin,5,12.5,Slice,Pre-Order,Yes
10150,14-10-2020,01-10-2020,Wednesday,Pumpkin,2,5,Slice,Pre-Order,No
10151,14-10-2020,01-10-2020,Wednesday,Pumpkin,5,12.5,Slice,In-Store,Yes
10152,14-10-2020,01-10-2020,Wednesday,Pumpkin,5,12.5,Slice,Pre-Order,No
10153,14-10-2020,01-10-2020,Wednesday,Pumpkin,2,5,Slice,Pre-Order,No
10154,14-10-2020,01-10-2020,Wednesday,Pumpkin,3,7.5,Slice,In-Store,Yes
10155,14-10-2020,01-10-2020,Wednesday,Pumpkin,4,80,Whole,Pre-Order,No
10156,25-06-2021,01-06-2021,Friday,Cherry,3,60,Whole,In-Store,Yes
10157,25-06-2021,01-06-2021,Friday,Apple,4,10,Slice,In-Store,No
10158,25-06-2021,01-06-2021,Friday,Cherry,4,80,Whole,Pre-Order,Yes
10159,25-06-2021,01-06-2021,Friday,Strawberry Rhubarb,2,5,Slice,In-Store,Yes
10160,25-06-2021,01-06-2021,Friday,Cherry,4,10,Slice,Pre-Order,Yes
10161,25-06-2021,01-06-2021,Friday,Cherry,2,5,Slice,In-Store,Yes
10162,25-06-2021,01-06-2021,Friday,Cherry,5,12.5,Slice,Pre-Order,No
10163,25-06-2021,01-06-2021,Friday,Cherry,2,5,Slice,Pre-Order,No
10164,25-06-2021,01-06-2021,Friday,Strawberry Rhubarb,5,12.5,Slice,In-Store,No
10165,12-08-2021,01-08-2021,Thursday,Apple,2,40,Whole,Pre-Order,Yes
10166,12-08-2021,01-08-2021,Thursday,Apple,4,80,Whole,In-Store,No
10167,12-08-2021,01-08-2021,Thursday,Apple,2,5,Slice,In-Store,Yes
10168,12-08-2021,01-08-2021,Thursday,Strawberry Rhubarb,2,40,Whole,Pre-Order,Yes
10169,12-08-2021,01-08-2021,Thursday,Cherry,5,100,Whole,Pre-Order,No
10170,12-08-2021,01-08-2021,Thursday,Apple,3,60,Whole,In-Store,Yes
10171,12-08-2021,01-08-2021,Thursday,Strawberry Rhubarb,4,10,Slice,In-Store,No
10172,12-08-2021,01-08-2021,Thursday,Apple,4,80,Whole,Pre-Order,No
10173,12-08-2021,01-08-2021,Thursday,Cherry,1,2.5,Slice,In-Store,Yes
10174,12-08-2021,01-08-2021,Thursday,Cherry,4,10,Slice,Pre-Order,Yes
10175,07-12-2019,01-12-2019,Saturday,Apple,1,20,Whole,In-Store,Yes
10176,07-12-2019,01-12-2019,Saturday,Apple,4,80,Whole,In-Store,No
10177,07-12-2019,01-12-2019,Saturday,Pumpkin,5,100,Whole,In-Store,Yes
10178,12-04-2020,01-04-2020,Sunday,Fudge,4,10,Slice,Pre-Order,Yes
10179,12-04-2020,01-04-2020,Sunday,Fudge,5,100,Whole,In-Store,Yes
10180,12-04-2020,01-04-2020,Sunday,Fudge,3,60,Whole,Pre-Order,No
10181,12-04-2020,01-04-2020,Sunday,Fudge,1,20,Whole,In-Store,Yes
10182,12-04-2020,01-04-2020,Sunday,Fudge,4,10,Slice,In-Store,No
10183,12-04-2020,01-04-2020,Sunday,Apple,3,60,Whole,In-Store,No
10184,12-04-2020,01-04-2020,Sunday,Fudge,3,7.5,Slice,Pre-Order,Yes
10185,12-04-2020,01-04-2020,Sunday,Blueberry,3,7.5,Slice,In-Store,Yes
10186,12-04-2020,01-04-2020,Sunday,Apple,3,60,Whole,In-Store,No
10187,12-04-2020,01-04-2020,Sunday,Blueberry,1,2.5,Slice,In-Store,Yes
10188,12-04-2020,01-04-2020,Sunday,Apple,5,12.5,Slice,Pre-Order,Yes
10189,12-11-2020,01-11-2020,Thursday,Pumpkin,1,2.5,Slice,In-Store,Yes
10190,31-08-2021,01-08-2021,Tuesday,Blueberry,1,20,Whole,In-Store,No
10191,31-08-2021,01-08-2021,Tuesday,Blueberry,4,80,Whole,Pre-Order,No
10192,31-08-2021,01-08-2021,Tuesday,Blueberry,3,60,Whole,In-Store,No
10193,31-08-2021,01-08-2021,Tuesday,Blueberry,2,40,Whole,In-Store,Yes
10194,31-08-2021,01-08-2021,Tuesday,Blueberry,1,2.5,Slice,Pre-Order,No
10195,06-08-2019,01-08-2019,Tuesday,Strawberry Rhubarb,2,40,Whole,Pre-Order,Yes
10196,06-08-2019,01-08-2019,Tuesday,Strawberry Rhubarb,1,20,Whole,In-Store,No
10197,06-08-2019,01-08-2019,Tuesday,Strawberry Rhubarb,3,60,Whole,Pre-Order,No
10198,06-08-2019,01-08-2019,Tuesday,Strawberry Rhubarb,5,12.5,Slice,Pre-Order,No
10199,06-08-2019,01-08-2019,Tuesday,Strawberry Rhubarb,3,60,Whole,Pre-Order,No
10200,06-08-2019,01-08-2019,Tuesday,Strawberry Rhubarb,4,10,Slice,Pre-Order,Yes
10201,06-08-2019,01-08-2019,Tuesday,Strawberry Rhubarb,3,60,Whole,Pre-Order,Yes
10202,06-08-2019,01-08-2019,Tuesday,Strawberry Rhubarb,5,12.5,Slice,Pre-Order,Yes
10203,06-08-2019,01-08-2019,Tuesday,Strawberry Rhubarb,5,12.5,Slice,In-Store,Yes
10204,06-08-2019,01-08-2019,Tuesday,Strawberry Rhubarb,2,40,Whole,Pre-Order,Yes
10205,06-08-2019,01-08-2019,Tuesday,Strawberry Rhubarb,3,60,Whole,Pre-Order,Yes
10206,06-08-2019,01-08-2019,Tuesday,Pumpkin,2,5,Slice,In-Store,Yes
10207,06-08-2019,01-08-2019,Tuesday,Pumpkin,2,5,Slice,In-Store,Yes
10208,06-08-2019,01-08-2019,Tuesday,Pumpkin,5,100,Whole,Pre-Order,Yes
10209,06-08-2019,01-08-2019,Tuesday,Pumpkin,3,60,Whole,Pre-Order,Yes
10210,06-08-2019,01-08-2019,Tuesday,Pumpkin,3,60,Whole,Pre-Order,Yes
10211,01-05-2020,01-05-2020,Friday,Fudge,4,10,Slice,Pre-Order,Yes
10212,01-05-2020,01-05-2020,Friday,Fudge,1,2.5,Slice,Pre-Order,Yes
10213,01-05-2020,01-05-2020,Friday,Fudge,2,40,Whole,In-Store,Yes
10214,01-05-2020,01-05-2020,Friday,Fudge,5,100,Whole,Pre-Order,Yes
10215,01-05-2020,01-05-2020,Friday,Fudge,2,5,Slice,In-Store,Yes
10216,01-05-2020,01-05-2020,Friday,Apple,5,12.5,Slice,Pre-Order,Yes
10217,21-04-2021,01-04-2021,Wednesday,Pumpkin,2,5,Slice,Pre-Order,Yes
10218,21-04-2021,01-04-2021,Wednesday,Pumpkin,4,10,Slice,Pre-Order,Yes
10219,21-11-2021,01-11-2021,Sunday,Pumpkin,2,5,Slice,In-Store,Yes
10220,21-11-2021,01-11-2021,Sunday,Pumpkin,1,20,Whole,In-Store,Yes
10221,23-10-2019,01-10-2019,Wednesday,Pumpkin,5,100,Whole,In-Store,Yes
10222,23-10-2019,01-10-2019,Wednesday,Apple,2,40,Whole,Pre-Order,Yes
10223,23-10-2019,01-10-2019,Wednesday,Pumpkin,5,100,Whole,In-Store,Yes
10224,23-10-2019,01-10-2019,Wednesday,Apple,1,2.5,Slice,Pre-Order,Yes
10225,02-03-2021,01-03-2021,Tuesday,Pumpkin,1,20,Whole,In-Store,Yes
10226,02-03-2021,01-03-2021,Tuesday,Pumpkin,3,60,Whole,Pre-Order,Yes
10227,30-04-2021,01-04-2021,Friday,Apple,1,2.5,Slice,Pre-Order,Yes
10228,23-07-2020,01-07-2020,Thursday,Blueberry,5,12.5,Slice,Pre-Order,Yes
10229,23-07-2020,01-07-2020,Thursday,Apple,1,20,Whole,In-Store,Yes
10230,23-07-2020,01-07-2020,Thursday,Apple,4,80,Whole,In-Store,Yes
10231,23-07-2020,01-07-2020,Thursday,Blueberry,4,80,Whole,Pre-Order,Yes
10232,23-07-2020,01-07-2020,Thursday,Other,2,5,Slice,Pre-Order,Yes
10233,24-12-2020,01-12-2020,Thursday,Apple,2,40,Whole,In-Store,Yes
10234,24-12-2020,01-12-2020,Thursday,Blueberry,1,20,Whole,In-Store,Yes
10235,24-12-2020,01-12-2020,Thursday,Apple,1,20,Whole,In-Store,Yes
10236,24-12-2020,01-12-2020,Thursday,Strawberry Rhubarb,3,60,Whole,In-Store,Yes
10237,24-12-2020,01-12-2020,Thursday,Blueberry,1,2.5,Slice,Pre-Order,Yes
10238,24-12-2020,01-12-2020,Thursday,Apple,5,12.5,Slice,In-Store,Yes
10239,24-12-2020,01-12-2020,Thursday,Apple,3,60,Whole,In-Store,Yes
10240,24-12-2020,01-12-2020,Thursday,Apple,3,7.5,Slice,In-Store,Yes
10241,24-12-2020,01-12-2020,Thursday,Apple,2,40,Whole,In-Store,Yes
10242,24-12-2020,01-12-2020,Thursday,Pumpkin,5,12.5,Slice,In-Store,Yes
10243,24-12-2020,01-12-2020,Thursday,Pumpkin,3,7.5,Slice,Pre-Order,Yes
10244,24-12-2020,01-12-2020,Thursday,Apple,1,2.5,Slice,Pre-Order,Yes
10245,24-12-2020,01-12-2020,Thursday,Apple,3,60,Whole,In-Store,Yes
10246,24-12-2020,01-12-2020,Thursday,Fudge,1,2.5,Slice,In-Store,Yes
10247,24-12-2020,01-12-2020,Thursday,Other,2,40,Whole,In-Store,Yes
10248,02-11-2021,01-11-2021,Tuesday,Apple,3,60,Whole,In-Store,Yes
10249,02-11-2021,01-11-2021,Tuesday,Apple,4,80,Whole,In-Store,Yes
10250,02-11-2021,01-11-2021,Tuesday,Apple,5,12.5,Slice,Pre-Order,Yes
10251,02-11-2021,01-11-2021,Tuesday,Apple,2,40,Whole,Pre-Order,Yes
10252,02-11-2021,01-11-2021,Tuesday,Apple,4,80,Whole,In-Store,Yes
10253,27-08-2019,01-08-2019,Tuesday,Strawberry Rhubarb,3,60,Whole,In-Store,Yes
10254,27-08-2019,01-08-2019,Tuesday,Apple,1,2.5,Slice,In-Store,Yes
10255,15-10-2021,01-10-2021,Thursday,Strawberry Rhubarb,4,80,Whole,Pre-Order,Yes
10256,15-10-2021,01-10-2021,Thursday,Strawberry Rhubarb,4,10,Slice,Pre-Order,Yes
10257,15-10-2021,01-10-2021,Thursday,Strawberry Rhubarb,4,80,Whole,In-Store,Yes
10258,15-10-2021,01-10-2021,Thursday,Strawberry Rhubarb,2,5,Slice,Pre-Order,Yes
10259,15-10-2021,01-10-2021,Thursday,Strawberry Rhubarb,1,20,Whole,In-Store,Yes
10260,14-04-2021,01-04-2021,Wednesday,Blueberry,5,12.5,Slice,Pre-Order,Yes
10261,14-04-2021,01-04-2021,Wednesday,Apple,1,20,Whole,Pre-Order,Yes
10262,14-04-2021,01-04-2021,Wednesday,Apple,2,5,Slice,In-Store,Yes
10263,14-04-2021,01-04-2021,Wednesday,Blueberry,1,2.5,Slice,In-Store,Yes
10264,14-04-2021,01-04-2021,Wednesday,Apple,1,20,Whole,In-Store,Yes
10265,14-04-2021,01-04-2021,Wednesday,Other,1,2.5,Slice,Pre-Order,Yes
10266,24-04-2021,01-04-2021,Saturday,Cherry,2,40,Whole,Pre-Order,Yes
10267,24-11-2021,01-11-2021,Wednesday,Pumpkin,1,20,Whole,In-Store,Yes
10268,24-11-2021,01-11-2021,Wednesday,Pumpkin,1,20,Whole,In-Store,Yes
10269,24-04-2021,01-04-2021,Saturday,Cherry,5,12.5,Slice,In-Store,Yes
10270,24-04-2021,01-04-2021,Saturday,Cherry,4,80,Whole,Pre-Order,Yes
10271,24-04-2021,01-04-2021,Saturday,Cherry,1,20,Whole,Pre-Order,Yes
10272,19-11-2019,01-11-2019,Tuesday,Pumpkin,1,20,Whole,In-Store,Yes
10273,19-11-2019,01-11-2019,Tuesday,Pumpkin,1,20,Whole,Pre-Order,Yes
10274,19-11-2019,01-11-2019,Tuesday,Pumpkin,1,2.5,Slice,In-Store,Yes
10275,19-11-2019,01-11-2019,Tuesday,Pumpkin,4,80,Whole,In-Store,Yes
10276,19-11-2019,01-11-2019,Tuesday,Pumpkin,2,40,Whole,Pre-Order,Yes
10277,19-11-2019,01-11-2019,Tuesday,Pumpkin,3,7.5,Slice,In-Store,Yes
10278,19-11-2019,01-11-2019,Tuesday,Other,2,40,Whole,In-Store,Yes
10279,19-11-2019,01-11-2019,Tuesday,Apple,2,5,Slice,Pre-Order,Yes
10280,06-02-2020,01-02-2020,Thursday,Strawberry Rhubarb,1,2.5,Slice,In-Store,Yes
10281,06-02-2020,01-02-2020,Thursday,Pumpkin,2,5,Slice,Pre-Order,No
10282,09-05-2021,01-05-2021,Sunday,Fudge,1,2.5,Slice,In-Store,No
10283,09-05-2021,01-05-2021,Sunday,Fudge,5,12.5,Slice,Pre-Order,No
10284,09-05-2021,01-05-2021,Sunday,Fudge,1,2.5,Slice,In-Store,Yes
10285,09-05-2021,01-05-2021,Sunday,Fudge,3,60,Whole,In-Store,Yes
10286,09-05-2021,01-05-2021,Sunday,Pumpkin,5,12.5,Slice,Pre-Order,No
10287,09-05-2021,01-05-2021,Sunday,Fudge,5,100,Whole,In-Store,No
10288,09-05-2021,01-05-2021,Sunday,Apple,2,40,Whole,Pre-Order,Yes
10289,09-05-2021,01-05-2021,Sunday,Apple,4,10,Slice,Pre-Order,No
10290,09-05-2021,01-05-2021,Sunday,Fudge,2,5,Slice,Pre-Order,No
10291,04-12-2019,01-12-2019,Wednesday,Apple,3,60,Whole,In-Store,No
10292,04-12-2019,01-12-2019,Wednesday,Apple,3,60,Whole,In-Store,No
10293,04-12-2019,01-12-2019,Wednesday,Apple,1,2.5,Slice,In-Store,Yes
10294,04-12-2019,01-12-2019,Wednesday,Pumpkin,3,60,Whole,In-Store,Yes
10295,04-12-2019,01-12-2019,Wednesday,Pumpkin,4,10,Slice,Pre-Order,Yes
10296,04-12-2019,01-12-2019,Wednesday,Pumpkin,1,2.5,Slice,Pre-Order,No
10297,04-12-2019,01-12-2019,Wednesday,Pumpkin,1,2.5,Slice,In-Store,Yes
